kernel,M,KRR_lam1_MSE,KRR_CV_lambda,KRR_CV_MSE,SVR_lam1_MSE,SVR_lam1_nSV,SVR_CV_lambda,SVR_CV_MSE,SVR_CV_nSV,sigma
Polynomial,1.0,19.005240706099,1.0,19.005240706099,25.591028193504883,99,3.1622776601683795,22.062700712431074,101,
Polynomial,2.0,11.743546857155996,0.001,13.466093176716674,7.861776472792954,90,10.0,10.470423110193163,90,
Polynomial,3.0,18.224067234054143,10.0,16.188222783852,6.724462711368801,86,31.622776601683793,7.321212043761302,96,
Polynomial,4.0,26.29361764976761,31.622776601683793,30.196714142648894,17.807681220010835,89,1000.0,10.619609467780348,99,
Polynomial,5.0,520.073970614906,316.22776601683796,42.4840911671912,14.92422716812472,98,100.0,6.877073511295928,90,
Polynomial,6.0,24774.153507075982,1000.0,253.82899774750632,107.15775925704932,116,1000.0,17.958530062280285,93,
Polynomial,7.0,683108.803896604,1000.0,405.86562535232105,219210.6912105536,122,1000.0,7.697447521264519,100,
Polynomial,8.0,3604277.7325143786,1000.0,157101.30166286082,1870937.5708491574,106,100.0,95208.43467464074,102,
Polynomial,9.0,514862.5687650576,1000.0,1654349.419739516,2494285.160264256,80,1000.0,410434.60951094754,108,
Polynomial,10.0,16718634.43282871,0.001,26537377.886609502,2835537.5250601564,62,1000.0,2851183.8444293654,107,
RBF,,275.6915604540668,0.1,238.17618014475428,34.52882757433078,109,0.1,22.15417648678276,108,0.3
RBF,,94.79717052059382,0.1,68.63530915344775,27.144529344430843,102,0.03162277660168379,14.4131506875101,96,0.5
RBF,,31.00099643990823,0.03162277660168379,21.66267103081848,18.94777431650495,97,0.03162277660168379,9.477284499051411,89,0.75
RBF,,18.987539809911745,0.1,13.981245889874526,15.367894264532186,95,0.03162277660168379,7.323829716658986,89,1.0
RBF,,14.176448493855613,0.1,11.268012079963947,13.234543611929041,98,0.03162277660168379,6.080684869609503,81,1.5
RBF,,14.002828813729451,0.1,11.657097741099154,12.355656624805718,102,0.03162277660168379,6.7097612188037745,85,2.0
RBF,,12.993237473870291,0.31622776601683794,12.697381648350252,13.47827827291427,99,0.03162277660168379,8.114312126462247,89,3.0
RBF,,12.8372266002773,0.1,11.810144526222162,17.743976660852958,103,0.01,8.322221049452649,85,5.0
RBF,,16.69879444609083,0.03162277660168379,11.194758028966762,24.210782147333283,104,0.0031622776601683794,8.75882133681498,84,8.0
RBF,,19.19672849211137,0.0031622776601683794,11.597838771307181,30.949650575057973,112,0.001,9.588293433659157,89,12.0
